what,kind,bundleId,bundleVersion,description,time
error,log,,,"Zero or negative length StyleRange 1301:0",1363705907253
error,log,,,"Zero or negative length StyleRange 1332:0",1363705907255
error,log,,,"Zero or negative length StyleRange 1361:0",1363705907257
error,log,,,"Zero or negative length StyleRange 1496:0",1363705907258
error,log,,,"Zero or negative length StyleRange 1520:0",1363705907260
error,log,,,"Zero or negative length StyleRange 1547:0",1363705907262
error,log,,,"Zero or negative length StyleRange 1577:0",1363705907263
error,log,,,"Zero or negative length StyleRange 1591:0",1363705907265
error,log,,,"Zero or negative length StyleRange 1627:0",1363705907267
error,log,,,"Zero or negative length StyleRange 1669:0",1363705907268
error,log,,,"Zero or negative length StyleRange 1699:0",1363705907270
error,log,,,"Zero or negative length StyleRange 1786:0",1363705907272
error,log,,,"Zero or negative length StyleRange 1816:0",1363705907274
error,log,,,"Zero or negative length StyleRange 1825:0",1363705907275
error,log,,,"Zero or negative length StyleRange 1837:0",1363705907277
error,log,,,"Zero or negative length StyleRange 1879:0",1363705907279
error,log,,,"Zero or negative length StyleRange 1892:0",1363705907280
error,log,,,"Zero or negative length StyleRange 1958:0",1363705907282
error,log,,,"Zero or negative length StyleRange 369:0",1363705907315
error,log,,,"Zero or negative length StyleRange 403:0",1363705907317
error,log,,,"Zero or negative length StyleRange 435:0",1363705907319
error,log,,,"Zero or negative length StyleRange 467:0",1363705907320
error,log,,,"Zero or negative length StyleRange 499:0",1363705907322
error,log,,,"Zero or negative length StyleRange 535:0",1363705907324
error,log,,,"Zero or negative length StyleRange 569:0",1363705907326
error,log,,,"Zero or negative length StyleRange 1237:0",1363705907328
error,log,,,"Zero or negative length StyleRange 1260:0",1363705907330
error,log,,,"Zero or negative length StyleRange 1281:0",1363705907331
error,log,,,"Zero or negative length StyleRange 1301:0",1363705907333
error,log,,,"Zero or negative length StyleRange 1332:0",1363705907335
error,log,,,"Zero or negative length StyleRange 1361:0",1363705907337
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363705909714
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363705911032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363705918557
