what,kind,bundleId,bundleVersion,description,time
error,log,,,"Zero or negative length StyleRange 1353:0",1363705695015
error,log,,,"Zero or negative length StyleRange 1449:0",1363705695016
error,log,,,"Zero or negative length StyleRange 1461:0",1363705695018
error,log,,,"Zero or negative length StyleRange 1475:0",1363705695020
error,log,,,"Zero or negative length StyleRange 1486:0",1363705695022
error,log,,,"Zero or negative length StyleRange 1516:0",1363705695024
error,log,,,"Zero or negative length StyleRange 1547:0",1363705695025
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1363705699950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363705704303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363705704557
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363705705650
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363705708119
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1363705715794
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1363705716139
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363705716854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363705717726
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363705739650
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363705743874
error,log,,,"Zero or negative length StyleRange 1118:0",1363705754834
error,log,,,"Zero or negative length StyleRange 1141:0",1363705754836
error,log,,,"Zero or negative length StyleRange 1162:0",1363705754837
error,log,,,"Zero or negative length StyleRange 1182:0",1363705754839
error,log,,,"Zero or negative length StyleRange 1213:0",1363705754841
error,log,,,"Zero or negative length StyleRange 1242:0",1363705754843
error,log,,,"Zero or negative length StyleRange 1377:0",1363705754846
error,log,,,"Zero or negative length StyleRange 1401:0",1363705754847
error,log,,,"Zero or negative length StyleRange 1428:0",1363705754851
error,log,,,"Zero or negative length StyleRange 1458:0",1363705754853
error,log,,,"Zero or negative length StyleRange 1472:0",1363705754855
error,log,,,"Zero or negative length StyleRange 1508:0",1363705754857
error,log,,,"Zero or negative length StyleRange 1550:0",1363705754859
error,log,,,"Zero or negative length StyleRange 1580:0",1363705754861
error,log,,,"Zero or negative length StyleRange 1667:0",1363705754862
error,log,,,"Zero or negative length StyleRange 1697:0",1363705754864
error,log,,,"Zero or negative length StyleRange 1706:0",1363705754866
error,log,,,"Zero or negative length StyleRange 1718:0",1363705754867
error,log,,,"Zero or negative length StyleRange 1760:0",1363705754869
error,log,,,"Zero or negative length StyleRange 1773:0",1363705754871
error,log,,,"Zero or negative length StyleRange 1839:0",1363705754872
error,log,,,"Zero or negative length StyleRange 1118:0",1363705754905
error,log,,,"Zero or negative length StyleRange 1141:0",1363705754907
error,log,,,"Zero or negative length StyleRange 1162:0",1363705754909
error,log,,,"Zero or negative length StyleRange 1182:0",1363705754911
error,log,,,"Zero or negative length StyleRange 1213:0",1363705754912
error,log,,,"Zero or negative length StyleRange 1242:0",1363705754914
error,log,,,"Zero or negative length StyleRange 1132:0",1363705761181
error,log,,,"Zero or negative length StyleRange 1155:0",1363705761182
error,log,,,"Zero or negative length StyleRange 1176:0",1363705761185
error,log,,,"Zero or negative length StyleRange 1196:0",1363705761186
error,log,,,"Zero or negative length StyleRange 1227:0",1363705761188
error,log,,,"Zero or negative length StyleRange 1256:0",1363705761190
error,log,,,"Zero or negative length StyleRange 1391:0",1363705761191
error,log,,,"Zero or negative length StyleRange 1415:0",1363705761193
error,log,,,"Zero or negative length StyleRange 1442:0",1363705761195
error,log,,,"Zero or negative length StyleRange 1472:0",1363705761196
error,log,,,"Zero or negative length StyleRange 1486:0",1363705761198
error,log,,,"Zero or negative length StyleRange 1522:0",1363705761200
error,log,,,"Zero or negative length StyleRange 1564:0",1363705761202
error,log,,,"Zero or negative length StyleRange 1594:0",1363705761212
error,log,,,"Zero or negative length StyleRange 1681:0",1363705761213
error,log,,,"Zero or negative length StyleRange 1711:0",1363705761215
error,log,,,"Zero or negative length StyleRange 1720:0",1363705761217
error,log,,,"Zero or negative length StyleRange 1732:0",1363705761218
error,log,,,"Zero or negative length StyleRange 1774:0",1363705761220
error,log,,,"Zero or negative length StyleRange 1787:0",1363705761222
error,log,,,"Zero or negative length StyleRange 1853:0",1363705761224
error,log,,,"Zero or negative length StyleRange 1132:0",1363705761253
error,log,,,"Zero or negative length StyleRange 1155:0",1363705761255
error,log,,,"Zero or negative length StyleRange 1176:0",1363705761257
error,log,,,"Zero or negative length StyleRange 1196:0",1363705761258
error,log,,,"Zero or negative length StyleRange 1227:0",1363705761260
error,log,,,"Zero or negative length StyleRange 1256:0",1363705761262
error,log,,,"Zero or negative length StyleRange 1146:0",1363705767790
error,log,,,"Zero or negative length StyleRange 1169:0",1363705767791
error,log,,,"Zero or negative length StyleRange 1190:0",1363705767793
error,log,,,"Zero or negative length StyleRange 1210:0",1363705767795
error,log,,,"Zero or negative length StyleRange 1241:0",1363705767797
error,log,,,"Zero or negative length StyleRange 1270:0",1363705767798
error,log,,,"Zero or negative length StyleRange 1405:0",1363705767800
error,log,,,"Zero or negative length StyleRange 1429:0",1363705767802
error,log,,,"Zero or negative length StyleRange 1456:0",1363705767804
error,log,,,"Zero or negative length StyleRange 1486:0",1363705767806
error,log,,,"Zero or negative length StyleRange 1500:0",1363705767807
error,log,,,"Zero or negative length StyleRange 1536:0",1363705767810
