what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363795865871
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363795871737
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363795878370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363795888243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363795907293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363795930713
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363795933185
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363795935575
error,log,,,"Zero or negative length StyleRange 2653:0",1363795951199
error,log,,,"Zero or negative length StyleRange 2665:0",1363795951202
error,log,,,"Zero or negative length StyleRange 2715:0",1363795951204
error,log,,,"Zero or negative length StyleRange 2755:0",1363795951206
error,log,,,"Zero or negative length StyleRange 2815:0",1363795951208
error,log,,,"Zero or negative length StyleRange 2832:0",1363795951210
error,log,,,"Zero or negative length StyleRange 2912:0",1363795951212
error,log,,,"Zero or negative length StyleRange 2940:0",1363795951214
error,log,,,"Zero or negative length StyleRange 2963:0",1363795951215
error,log,,,"Zero or negative length StyleRange 3051:0",1363795951217
error,log,,,"Zero or negative length StyleRange 3063:0",1363795951218
error,log,,,"Zero or negative length StyleRange 3215:0",1363795951220
error,log,,,"Zero or negative length StyleRange 3263:0",1363795951223
error,log,,,"Zero or negative length StyleRange 3280:0",1363795951225
error,log,,,"Zero or negative length StyleRange 3292:0",1363795951227
error,log,,,"Zero or negative length StyleRange 3310:0",1363795951228
error,log,,,"Zero or negative length StyleRange 3333:0",1363795951229
error,log,,,"Zero or negative length StyleRange 3350:0",1363795951231
error,log,,,"Zero or negative length StyleRange 3373:0",1363795951232
error,log,,,"Zero or negative length StyleRange 3385:0",1363795951234
error,log,,,"Zero or negative length StyleRange 3398:0",1363795951235
error,log,,,"Zero or negative length StyleRange 3450:0",1363795951237
error,log,,,"Zero or negative length StyleRange 3497:0",1363795951238
error,log,,,"Zero or negative length StyleRange 3516:0",1363795951240
error,log,,,"Zero or negative length StyleRange 3532:0",1363795951241
error,log,,,"Zero or negative length StyleRange 3550:0",1363795951243
error,log,,,"Zero or negative length StyleRange 3602:0",1363795951244
error,log,,,"Zero or negative length StyleRange 3634:0",1363795951246
error,log,,,"Zero or negative length StyleRange 3647:0",1363795951247
error,log,,,"Zero or negative length StyleRange 3658:0",1363795951249
error,log,,,"Zero or negative length StyleRange 3674:0",1363795951250
error,log,,,"Zero or negative length StyleRange 3732:0",1363795951251
error,log,,,"Zero or negative length StyleRange 3751:0",1363795951253
error,log,,,"Zero or negative length StyleRange 3759:0",1363795951254
error,log,,,"Zero or negative length StyleRange 3773:0",1363795951256
error,log,,,"Zero or negative length StyleRange 3794:0",1363795951268
error,log,,,"Zero or negative length StyleRange 3831:0",1363795951270
error,log,,,"Zero or negative length StyleRange 3846:0",1363795951271
error,log,,,"Zero or negative length StyleRange 3866:0",1363795951273
error,log,,,"Zero or negative length StyleRange 4036:0",1363795951274
error,log,,,"Zero or negative length StyleRange 4069:0",1363795951275
error,log,,,"Zero or negative length StyleRange 4078:0",1363795951277
error,log,,,"Zero or negative length StyleRange 4114:0",1363795951278
error,log,,,"Zero or negative length StyleRange 4123:0",1363795951280
error,log,,,"Zero or negative length StyleRange 2653:0",1363795951301
error,log,,,"Zero or negative length StyleRange 2665:0",1363795951302
error,log,,,"Zero or negative length StyleRange 2715:0",1363795951304
error,log,,,"Zero or negative length StyleRange 2755:0",1363795951305
error,log,,,"Zero or negative length StyleRange 2815:0",1363795951307
error,log,,,"Zero or negative length StyleRange 2832:0",1363795951308
error,log,,,"Zero or negative length StyleRange 2912:0",1363795951310
error,log,,,"Zero or negative length StyleRange 2940:0",1363795951311
error,log,,,"Zero or negative length StyleRange 2963:0",1363795951312
error,log,,,"Zero or negative length StyleRange 3051:0",1363795951314
error,log,,,"Zero or negative length StyleRange 3063:0",1363795951316
error,log,,,"Zero or negative length StyleRange 3215:0",1363795951317
error,log,,,"Zero or negative length StyleRange 3263:0",1363795951319
error,log,,,"Zero or negative length StyleRange 3280:0",1363795951320
error,log,,,"Zero or negative length StyleRange 3292:0",1363795951322
error,log,,,"Zero or negative length StyleRange 3310:0",1363795951323
error,log,,,"Zero or negative length StyleRange 3333:0",1363795951325
error,log,,,"Zero or negative length StyleRange 3350:0",1363795951327
error,log,,,"Zero or negative length StyleRange 3373:0",1363795951328
error,log,,,"Zero or negative length StyleRange 3385:0",1363795951330
error,log,,,"Zero or negative length StyleRange 3398:0",1363795951331
error,log,,,"Zero or negative length StyleRange 3450:0",1363795951332
error,log,,,"Zero or negative length StyleRange 3497:0",1363795951334
error,log,,,"Zero or negative length StyleRange 3516:0",1363795951335
error,log,,,"Zero or negative length StyleRange 3532:0",1363795951337
error,log,,,"Zero or negative length StyleRange 3550:0",1363795951338
error,log,,,"Zero or negative length StyleRange 3602:0",1363795951340
error,log,,,"Zero or negative length StyleRange 3634:0",1363795951341
error,log,,,"Zero or negative length StyleRange 3647:0",1363795951343
error,log,,,"Zero or negative length StyleRange 3658:0",1363795951344
error,log,,,"Zero or negative length StyleRange 3674:0",1363795951346
error,log,,,"Zero or negative length StyleRange 3732:0",1363795951347
error,log,,,"Zero or negative length StyleRange 3751:0",1363795951348
error,log,,,"Zero or negative length StyleRange 3759:0",1363795951350
error,log,,,"Zero or negative length StyleRange 3773:0",1363795951351
error,log,,,"Zero or negative length StyleRange 3794:0",1363795951353
error,log,,,"Zero or negative length StyleRange 3831:0",1363795951354
error,log,,,"Zero or negative length StyleRange 3846:0",1363795951356
error,log,,,"Zero or negative length StyleRange 3866:0",1363795951357
error,log,,,"Zero or negative length StyleRange 4036:0",1363795951359
error,log,,,"Zero or negative length StyleRange 4069:0",1363795951360
error,log,,,"Zero or negative length StyleRange 4078:0",1363795951361
error,log,,,"Zero or negative length StyleRange 4114:0",1363795951363
error,log,,,"Zero or negative length StyleRange 4123:0",1363795951364
error,log,,,"null",1363795951929
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363795959665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363795963664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363795980358
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363795991063
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363795993177
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1363795997202
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363796016713
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1363796018408
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363796020029
error,log,,,"Zero or negative length StyleRange 2653:0",1363796022665
error,log,,,"Zero or negative length StyleRange 2665:0",1363796022668
error,log,,,"Zero or negative length StyleRange 2715:0",1363796022670
error,log,,,"Zero or negative length StyleRange 2755:0",1363796022672
error,log,,,"Zero or negative length StyleRange 2815:0",1363796022673
error,log,,,"Zero or negative length StyleRange 2832:0",1363796022674
error,log,,,"Zero or negative length StyleRange 2912:0",1363796022676
error,log,,,"Zero or negative length StyleRange 2940:0",1363796022677
error,log,,,"Zero or negative length StyleRange 2963:0",1363796022679
error,log,,,"Zero or negative length StyleRange 3051:0",1363796022680
error,log,,,"Zero or negative length StyleRange 3063:0",1363796022682
error,log,,,"Zero or negative length StyleRange 3215:0",1363796022684
error,log,,,"Zero or negative length StyleRange 3263:0",1363796022685
error,log,,,"Zero or negative length StyleRange 3280:0",1363796022687
error,log,,,"Zero or negative length StyleRange 3292:0",1363796022688
error,log,,,"Zero or negative length StyleRange 3310:0",1363796022690
error,log,,,"Zero or negative length StyleRange 3333:0",1363796022691
error,log,,,"Zero or negative length StyleRange 3350:0",1363796022692
error,log,,,"Zero or negative length StyleRange 3373:0",1363796022694
error,log,,,"Zero or negative length StyleRange 3385:0",1363796022695
error,log,,,"Zero or negative length StyleRange 3398:0",1363796022697
error,log,,,"Zero or negative length StyleRange 3450:0",1363796022698
error,log,,,"Zero or negative length StyleRange 3497:0",1363796022700
error,log,,,"Zero or negative length StyleRange 3516:0",1363796022701
error,log,,,"Zero or negative length StyleRange 3532:0",1363796022703
error,log,,,"Zero or negative length StyleRange 3550:0",1363796022704
error,log,,,"Zero or negative length StyleRange 3602:0",1363796022705
error,log,,,"Zero or negative length StyleRange 3634:0",1363796022707
error,log,,,"Zero or negative length StyleRange 3647:0",1363796022708
error,log,,,"Zero or negative length StyleRange 3658:0",1363796022710
error,log,,,"Zero or negative length StyleRange 3674:0",1363796022711
error,log,,,"Zero or negative length StyleRange 3732:0",1363796022713
error,log,,,"Zero or negative length StyleRange 3751:0",1363796022714
error,log,,,"Zero or negative length StyleRange 3759:0",1363796022716
error,log,,,"Zero or negative length StyleRange 3773:0",1363796022717
error,log,,,"Zero or negative length StyleRange 3794:0",1363796022718
error,log,,,"Zero or negative length StyleRange 3831:0",1363796022720
error,log,,,"Zero or negative length StyleRange 3846:0",1363796022721
error,log,,,"Zero or negative length StyleRange 3866:0",1363796022723
error,log,,,"Zero or negative length StyleRange 4036:0",1363796022724
error,log,,,"Zero or negative length StyleRange 4069:0",1363796022726
error,log,,,"Zero or negative length StyleRange 4078:0",1363796022727
error,log,,,"Zero or negative length StyleRange 4114:0",1363796022729
error,log,,,"Zero or negative length StyleRange 4123:0",1363796022730
error,log,,,"Zero or negative length StyleRange 2653:0",1363796022750
error,log,,,"Zero or negative length StyleRange 2665:0",1363796022802
error,log,,,"Zero or negative length StyleRange 2715:0",1363796022804
error,log,,,"Zero or negative length StyleRange 2755:0",1363796022806
error,log,,,"Zero or negative length StyleRange 2815:0",1363796022808
error,log,,,"Zero or negative length StyleRange 2832:0",1363796022811
error,log,,,"Zero or negative length StyleRange 2912:0",1363796022813
error,log,,,"Zero or negative length StyleRange 2940:0",1363796022815
error,log,,,"Zero or negative length StyleRange 2963:0",1363796022817
error,log,,,"Zero or negative length StyleRange 3051:0",1363796022820
error,log,,,"Zero or negative length StyleRange 3063:0",1363796022822
error,log,,,"Zero or negative length StyleRange 3215:0",1363796022823
error,log,,,"Zero or negative length StyleRange 3263:0",1363796022824
error,log,,,"Zero or negative length StyleRange 3280:0",1363796022826
error,log,,,"Zero or negative length StyleRange 3292:0",1363796022827
error,log,,,"Zero or negative length StyleRange 3310:0",1363796022829
error,log,,,"Zero or negative length StyleRange 3333:0",1363796022830
error,log,,,"Zero or negative length StyleRange 3350:0",1363796022831
error,log,,,"Zero or negative length StyleRange 3373:0",1363796022833
error,log,,,"Zero or negative length StyleRange 3385:0",1363796022834
error,log,,,"Zero or negative length StyleRange 3398:0",1363796022836
error,log,,,"Zero or negative length StyleRange 3450:0",1363796022837
error,log,,,"Zero or negative length StyleRange 3497:0",1363796022838
error,log,,,"Zero or negative length StyleRange 3516:0",1363796022840
error,log,,,"Zero or negative length StyleRange 3532:0",1363796022841
error,log,,,"Zero or negative length StyleRange 3550:0",1363796022843
error,log,,,"Zero or negative length StyleRange 3602:0",1363796022844
error,log,,,"Zero or negative length StyleRange 3634:0",1363796022845
error,log,,,"Zero or negative length StyleRange 3647:0",1363796022847
error,log,,,"Zero or negative length StyleRange 3658:0",1363796022848
error,log,,,"Zero or negative length StyleRange 3674:0",1363796022850
error,log,,,"Zero or negative length StyleRange 3732:0",1363796022851
error,log,,,"Zero or negative length StyleRange 3751:0",1363796022853
error,log,,,"Zero or negative length StyleRange 3759:0",1363796022854
error,log,,,"Zero or negative length StyleRange 3773:0",1363796022855
error,log,,,"Zero or negative length StyleRange 3794:0",1363796022857
