what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363703841098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363703857546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363703858840
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704047444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704050769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704061603
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363704063108
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704070632
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704084400
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363704088186
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363704105723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704106921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704227701
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704229521
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704247131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704248023
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704343947
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363704345873
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363704346034
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363704350523
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363704351314
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363704353880
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363704355144
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363704355230
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363704357688
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363704357978
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363704358085
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363704362406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363704363130
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704364487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704369707
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704371621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704374731
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363704378004
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363704382069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704391179
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704394250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704395820
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363704403999
executed,command,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui.toggle.comment",1363704418698
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363704419950
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363704421854
