what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363936909678
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363936919199
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363936942310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363936943367
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363936945008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363936945726
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363936949643
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363936959300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363936962541
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363936986257
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363937004235
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363937005893
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363937006499
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1363937016664
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363937018846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363937019184
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1363937021242
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1363937025452
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363937025732
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363937030061
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937031258
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937036670
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363937044265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363937047952
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937048911
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937267234
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363937279517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937284539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937285760
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937289444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937290743
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363937292884
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1363937304925
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363937306712
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363937309615
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363937316102
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363937317234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937319218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937320176
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363937321585
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363937324250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937326536
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937330552
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363937334544
