what,kind,bundleId,bundleVersion,description,time
error,log,,,"Zero or negative length StyleRange 732:0",1363706657275
error,log,,,"Zero or negative length StyleRange 763:0",1363706657277
error,log,,,"Zero or negative length StyleRange 823:0",1363706657279
error,log,,,"Zero or negative length StyleRange 845:0",1363706657281
error,log,,,"Zero or negative length StyleRange 865:0",1363706657283
error,log,,,"Zero or negative length StyleRange 901:0",1363706657285
error,log,,,"Zero or negative length StyleRange 932:0",1363706657287
error,log,,,"Zero or negative length StyleRange 1043:0",1363706657289
error,log,,,"Zero or negative length StyleRange 53:0",1363706657317
error,log,,,"Zero or negative length StyleRange 83:0",1363706657319
error,log,,,"Zero or negative length StyleRange 93:0",1363706657321
error,log,,,"Zero or negative length StyleRange 108:0",1363706657323
error,log,,,"Zero or negative length StyleRange 174:0",1363706657326
error,log,,,"Zero or negative length StyleRange 224:0",1363706657328
error,log,,,"Zero or negative length StyleRange 275:0",1363706657329
error,log,,,"Zero or negative length StyleRange 289:0",1363706657331
error,log,,,"Zero or negative length StyleRange 311:0",1363706657333
error,log,,,"Zero or negative length StyleRange 331:0",1363706657336
error,log,,,"Zero or negative length StyleRange 635:0",1363706657342
error,log,,,"Zero or negative length StyleRange 658:0",1363706657344
error,log,,,"Zero or negative length StyleRange 680:0",1363706657346
error,log,,,"Zero or negative length StyleRange 700:0",1363706657348
error,log,,,"Zero or negative length StyleRange 732:0",1363706657349
error,log,,,"Zero or negative length StyleRange 763:0",1363706657351
error,log,,,"Zero or negative length StyleRange 823:0",1363706657353
error,log,,,"Zero or negative length StyleRange 845:0",1363706657355
error,log,,,"Zero or negative length StyleRange 865:0",1363706657357
error,log,,,"Zero or negative length StyleRange 901:0",1363706657359
error,log,,,"Zero or negative length StyleRange 932:0",1363706657361
error,log,,,"Zero or negative length StyleRange 1043:0",1363706657363
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363706657390
error,log,,,"Zero or negative length StyleRange 53:0",1363706658599
error,log,,,"Zero or negative length StyleRange 83:0",1363706658600
error,log,,,"Zero or negative length StyleRange 93:0",1363706658601
error,log,,,"Zero or negative length StyleRange 108:0",1363706658603
error,log,,,"Zero or negative length StyleRange 174:0",1363706658605
error,log,,,"Zero or negative length StyleRange 224:0",1363706658606
error,log,,,"Zero or negative length StyleRange 275:0",1363706658608
error,log,,,"Zero or negative length StyleRange 289:0",1363706658609
error,log,,,"Zero or negative length StyleRange 311:0",1363706658611
error,log,,,"Zero or negative length StyleRange 331:0",1363706658612
error,log,,,"Zero or negative length StyleRange 635:0",1363706658614
error,log,,,"Zero or negative length StyleRange 658:0",1363706658615
error,log,,,"Zero or negative length StyleRange 680:0",1363706658617
error,log,,,"Zero or negative length StyleRange 700:0",1363706658618
error,log,,,"Zero or negative length StyleRange 732:0",1363706658620
error,log,,,"Zero or negative length StyleRange 763:0",1363706658622
error,log,,,"Zero or negative length StyleRange 823:0",1363706658624
error,log,,,"Zero or negative length StyleRange 845:0",1363706658625
error,log,,,"Zero or negative length StyleRange 865:0",1363706658627
error,log,,,"Zero or negative length StyleRange 901:0",1363706658628
error,log,,,"Zero or negative length StyleRange 932:0",1363706658630
error,log,,,"Zero or negative length StyleRange 1043:0",1363706658631
error,log,,,"Zero or negative length StyleRange 53:0",1363706660021
error,log,,,"Zero or negative length StyleRange 83:0",1363706660023
error,log,,,"Zero or negative length StyleRange 93:0",1363706660026
error,log,,,"Zero or negative length StyleRange 108:0",1363706660029
error,log,,,"Zero or negative length StyleRange 174:0",1363706660031
error,log,,,"Zero or negative length StyleRange 224:0",1363706660033
error,log,,,"Zero or negative length StyleRange 275:0",1363706660035
error,log,,,"Zero or negative length StyleRange 289:0",1363706660038
error,log,,,"Zero or negative length StyleRange 311:0",1363706660040
error,log,,,"Zero or negative length StyleRange 331:0",1363706660042
error,log,,,"Zero or negative length StyleRange 635:0",1363706660043
error,log,,,"Zero or negative length StyleRange 658:0",1363706660045
error,log,,,"Zero or negative length StyleRange 680:0",1363706660046
error,log,,,"Zero or negative length StyleRange 700:0",1363706660048
error,log,,,"Zero or negative length StyleRange 732:0",1363706660049
error,log,,,"Zero or negative length StyleRange 763:0",1363706660051
error,log,,,"Zero or negative length StyleRange 823:0",1363706660052
error,log,,,"Zero or negative length StyleRange 845:0",1363706660054
error,log,,,"Zero or negative length StyleRange 865:0",1363706660057
error,log,,,"Zero or negative length StyleRange 901:0",1363706660059
error,log,,,"Zero or negative length StyleRange 932:0",1363706660060
error,log,,,"Zero or negative length StyleRange 1043:0",1363706660062
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1363706663556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363706665211
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363706668142
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363706672739
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363706673770
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363706674336
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363706674437
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1363706686503
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1363706690957
