what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1363669321602
java.vm.version,sysinfo,,,"16.3-b01",1363669321602
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1363669321806
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1363669321862
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100410-0300,"org.eclipse.php.debug.daemon",1363669321865
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1363669321867
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1363669322108
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1363669322230
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1363669322339
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1363669322451
started,bundle,org.eclipse.php.server.core,2.2.0.v20100410-0300,"org.eclipse.php.server.core",1363669322452
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100822-0100,"org.eclipse.php.debug.core",1363669322700
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1363669323486
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1363669323556
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1363669323607
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1363669323781
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100822-0100,"org.eclipse.php.debug.ui",1363669324172
error,log,,,"Could not create action delegate for id: org.eclipse.debug.ui.actions.ToggleWatchpoint",1363669324173
error,log,,,"Internal plug-in action delegate error on creation.",1363669324175
error,log,,,"Could not create action delegate for id: org.eclipse.debug.ui.actions.ToggleMethodBreakpoint",1363669324176
error,log,,,"Internal plug-in action delegate error on creation.",1363669324178
error,log,,,"Could not create action delegate for id: org.eclipse.debug.ui.actions.ToggleLineBreakpoint",1363669324179
error,log,,,"Internal plug-in action delegate error on creation.",1363669324180
error,log,,,"Could not create action delegate for id: org.eclipse.debug.ui.actions.ToggleBreakpoint",1363669324182
error,log,,,"Internal plug-in action delegate error on creation.",1363669324184
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1363669328534
opened,view,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.pde.runtime.LogView",1363669329006
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669329202
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363669329326
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669329394
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669329494
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669329506
activated,view,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.pde.runtime.LogView",1363669329517
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363669331747
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669333086
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363669333109
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669333147
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669333193
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669333204
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.php.ui.explorer",1363669333211
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363669333236
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669333277
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669333291
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669333347
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669333356
activated,view,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.pde.runtime.LogView",1363669333363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363669334711
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363669334818
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669338844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363669338868
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669338907
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669338952
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669338962
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.php.ui.explorer",1363669338968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363669338988
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1363669339034
