what,kind,bundleId,bundleVersion,description,time
error,log,,,"Zero or negative length StyleRange 1278:0",1363705444334
error,log,,,"Zero or negative length StyleRange 1304:0",1363705444335
error,log,,,"Zero or negative length StyleRange 1351:0",1363705444337
error,log,,,"Zero or negative length StyleRange 630:0",1363705444382
error,log,,,"Zero or negative length StyleRange 685:0",1363705444384
error,log,,,"Zero or negative length StyleRange 755:0",1363705444386
error,log,,,"Zero or negative length StyleRange 810:0",1363705444387
error,log,,,"Zero or negative length StyleRange 886:0",1363705444389
error,log,,,"Zero or negative length StyleRange 911:0",1363705444391
error,log,,,"Zero or negative length StyleRange 931:0",1363705444393
error,log,,,"Zero or negative length StyleRange 963:0",1363705444394
error,log,,,"Zero or negative length StyleRange 984:0",1363705444396
error,log,,,"Zero or negative length StyleRange 1037:0",1363705444398
error,log,,,"Zero or negative length StyleRange 1059:0",1363705444400
error,log,,,"Zero or negative length StyleRange 1079:0",1363705444402
error,log,,,"Zero or negative length StyleRange 1110:0",1363705444403
error,log,,,"Zero or negative length StyleRange 1131:0",1363705444405
error,log,,,"Zero or negative length StyleRange 1247:0",1363705444407
error,log,,,"Zero or negative length StyleRange 1278:0",1363705444408
error,log,,,"Zero or negative length StyleRange 1304:0",1363705444410
error,log,,,"Zero or negative length StyleRange 1351:0",1363705444412
error,log,,,"Zero or negative length StyleRange 630:0",1363705444447
error,log,,,"Zero or negative length StyleRange 685:0",1363705444449
error,log,,,"Zero or negative length StyleRange 755:0",1363705444451
error,log,,,"Zero or negative length StyleRange 810:0",1363705444453
error,log,,,"Zero or negative length StyleRange 886:0",1363705444455
error,log,,,"Zero or negative length StyleRange 911:0",1363705444456
error,log,,,"Zero or negative length StyleRange 931:0",1363705444458
error,log,,,"Zero or negative length StyleRange 963:0",1363705444460
error,log,,,"Zero or negative length StyleRange 984:0",1363705444462
error,log,,,"Zero or negative length StyleRange 1037:0",1363705444463
error,log,,,"Zero or negative length StyleRange 1059:0",1363705444465
error,log,,,"Zero or negative length StyleRange 1079:0",1363705444467
error,log,,,"Zero or negative length StyleRange 1110:0",1363705444469
error,log,,,"Zero or negative length StyleRange 1131:0",1363705444471
error,log,,,"Zero or negative length StyleRange 1247:0",1363705444472
error,log,,,"Zero or negative length StyleRange 1278:0",1363705444474
error,log,,,"Zero or negative length StyleRange 1304:0",1363705444476
error,log,,,"Zero or negative length StyleRange 1351:0",1363705444478
error,log,,,"Zero or negative length StyleRange 630:0",1363705444518
error,log,,,"Zero or negative length StyleRange 685:0",1363705444520
error,log,,,"Zero or negative length StyleRange 755:0",1363705444522
