what,kind,bundleId,bundleVersion,description,time
error,log,,,"Zero or negative length StyleRange 1010:0",1363782768273
error,log,,,"Zero or negative length StyleRange 1044:0",1363782768274
error,log,,,"Zero or negative length StyleRange 1064:0",1363782768276
error,log,,,"Zero or negative length StyleRange 1087:0",1363782768277
error,log,,,"Zero or negative length StyleRange 1130:0",1363782768279
error,log,,,"Zero or negative length StyleRange 1153:0",1363782768281
error,log,,,"Zero or negative length StyleRange 1197:0",1363782768282
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363782772400
error,log,,,"Zero or negative length StyleRange 540:0",1363782776918
error,log,,,"Zero or negative length StyleRange 557:0",1363782776920
error,log,,,"Zero or negative length StyleRange 623:0",1363782776921
error,log,,,"Zero or negative length StyleRange 638:0",1363782776923
error,log,,,"Zero or negative length StyleRange 661:0",1363782776924
error,log,,,"Zero or negative length StyleRange 693:0",1363782776925
error,log,,,"Zero or negative length StyleRange 713:0",1363782776927
error,log,,,"Zero or negative length StyleRange 736:0",1363782776928
error,log,,,"Zero or negative length StyleRange 765:0",1363782776929
error,log,,,"Zero or negative length StyleRange 789:0",1363782776931
error,log,,,"Zero or negative length StyleRange 863:0",1363782776932
error,log,,,"Zero or negative length StyleRange 886:0",1363782776934
error,log,,,"Zero or negative length StyleRange 928:0",1363782776935
error,log,,,"Zero or negative length StyleRange 948:0",1363782776937
error,log,,,"Zero or negative length StyleRange 971:0",1363782776938
error,log,,,"Zero or negative length StyleRange 1023:0",1363782776939
error,log,,,"Zero or negative length StyleRange 1046:0",1363782776941
error,log,,,"Zero or negative length StyleRange 1080:0",1363782776943
error,log,,,"Zero or negative length StyleRange 1100:0",1363782776958
error,log,,,"Zero or negative length StyleRange 1123:0",1363782776959
error,log,,,"Zero or negative length StyleRange 1166:0",1363782776960
error,log,,,"Zero or negative length StyleRange 1189:0",1363782776962
error,log,,,"Zero or negative length StyleRange 1233:0",1363782776963
error,log,,,"Zero or negative length StyleRange 555:0",1363782782836
error,log,,,"Zero or negative length StyleRange 572:0",1363782782838
error,log,,,"Zero or negative length StyleRange 638:0",1363782782839
error,log,,,"Zero or negative length StyleRange 653:0",1363782782841
error,log,,,"Zero or negative length StyleRange 676:0",1363782782842
error,log,,,"Zero or negative length StyleRange 708:0",1363782782844
error,log,,,"Zero or negative length StyleRange 728:0",1363782782845
error,log,,,"Zero or negative length StyleRange 751:0",1363782782847
error,log,,,"Zero or negative length StyleRange 780:0",1363782782848
error,log,,,"Zero or negative length StyleRange 804:0",1363782782849
error,log,,,"Zero or negative length StyleRange 878:0",1363782782851
error,log,,,"Zero or negative length StyleRange 901:0",1363782782852
error,log,,,"Zero or negative length StyleRange 943:0",1363782782854
error,log,,,"Zero or negative length StyleRange 963:0",1363782782855
error,log,,,"Zero or negative length StyleRange 986:0",1363782782856
error,log,,,"Zero or negative length StyleRange 1038:0",1363782782858
