what,kind,bundleId,bundleVersion,description,time
error,log,,,"Zero or negative length StyleRange 736:0",1363834924560
error,log,,,"Zero or negative length StyleRange 745:0",1363834924562
error,log,,,"Zero or negative length StyleRange 681:0",1363834924753
error,log,,,"Zero or negative length StyleRange 704:0",1363834924756
error,log,,,"Zero or negative length StyleRange 737:0",1363834924758
error,log,,,"Zero or negative length StyleRange 746:0",1363834924760
error,log,,,"Zero or negative length StyleRange 682:0",1363834924909
error,log,,,"Zero or negative length StyleRange 705:0",1363834924911
error,log,,,"Zero or negative length StyleRange 738:0",1363834924914
error,log,,,"Zero or negative length StyleRange 747:0",1363834924916
error,log,,,"Zero or negative length StyleRange 1815:0",1363834924918
error,log,,,"Zero or negative length StyleRange 1826:0",1363834924919
error,log,,,"Zero or negative length StyleRange 1969:0",1363834924921
error,log,,,"Zero or negative length StyleRange 682:0",1363834924928
error,log,,,"Zero or negative length StyleRange 705:0",1363834924929
error,log,,,"Zero or negative length StyleRange 738:0",1363834924931
error,log,,,"Zero or negative length StyleRange 747:0",1363834924932
error,log,,,"Zero or negative length StyleRange 1815:0",1363834924934
error,log,,,"Zero or negative length StyleRange 1826:0",1363834924936
error,log,,,"Zero or negative length StyleRange 1969:0",1363834924938
error,log,,,"Zero or negative length StyleRange 682:0",1363834924949
error,log,,,"Zero or negative length StyleRange 705:0",1363834924950
error,log,,,"Zero or negative length StyleRange 738:0",1363834924952
error,log,,,"Zero or negative length StyleRange 747:0",1363834924953
error,log,,,"Zero or negative length StyleRange 1815:0",1363834924955
error,log,,,"Zero or negative length StyleRange 1826:0",1363834924957
error,log,,,"Zero or negative length StyleRange 1969:0",1363834924958
error,log,,,"Zero or negative length StyleRange 687:0",1363834927275
error,log,,,"Zero or negative length StyleRange 710:0",1363834927277
error,log,,,"Zero or negative length StyleRange 743:0",1363834927280
error,log,,,"Zero or negative length StyleRange 688:0",1363834927616
error,log,,,"Zero or negative length StyleRange 711:0",1363834927618
error,log,,,"Zero or negative length StyleRange 753:0",1363834927620
error,log,,,"Zero or negative length StyleRange 688:0",1363834927657
error,log,,,"Zero or negative length StyleRange 711:0",1363834927659
error,log,,,"Zero or negative length StyleRange 753:0",1363834927660
error,log,,,"Zero or negative length StyleRange 688:0",1363834927673
error,log,,,"Zero or negative length StyleRange 711:0",1363834927674
error,log,,,"Zero or negative length StyleRange 753:0",1363834927676
error,log,,,"Zero or negative length StyleRange 688:0",1363834927693
error,log,,,"Zero or negative length StyleRange 711:0",1363834927695
error,log,,,"Zero or negative length StyleRange 753:0",1363834927697
error,log,,,"Zero or negative length StyleRange 688:0",1363834927715
error,log,,,"Zero or negative length StyleRange 711:0",1363834927716
error,log,,,"Zero or negative length StyleRange 753:0",1363834927718
error,log,,,"Zero or negative length StyleRange 689:0",1363834927755
error,log,,,"Zero or negative length StyleRange 712:0",1363834927757
error,log,,,"Zero or negative length StyleRange 745:0",1363834927759
error,log,,,"Zero or negative length StyleRange 754:0",1363834927760
error,log,,,"Zero or negative length StyleRange 1822:0",1363834927762
error,log,,,"Zero or negative length StyleRange 1833:0",1363834927764
error,log,,,"Zero or negative length StyleRange 1976:0",1363834927765
error,log,,,"Zero or negative length StyleRange 689:0",1363834927775
error,log,,,"Zero or negative length StyleRange 712:0",1363834927777
error,log,,,"Zero or negative length StyleRange 745:0",1363834927779
error,log,,,"Zero or negative length StyleRange 754:0",1363834927781
error,log,,,"Zero or negative length StyleRange 1822:0",1363834927782
error,log,,,"Zero or negative length StyleRange 1833:0",1363834927784
error,log,,,"Zero or negative length StyleRange 1976:0",1363834927785
error,log,,,"Zero or negative length StyleRange 689:0",1363834927792
error,log,,,"Zero or negative length StyleRange 712:0",1363834927794
error,log,,,"Zero or negative length StyleRange 745:0",1363834927842
error,log,,,"Zero or negative length StyleRange 754:0",1363834927844
error,log,,,"Zero or negative length StyleRange 1822:0",1363834927847
error,log,,,"Zero or negative length StyleRange 1833:0",1363834927849
error,log,,,"Zero or negative length StyleRange 1976:0",1363834927851
error,log,,,"Zero or negative length StyleRange 689:0",1363834927871
error,log,,,"Zero or negative length StyleRange 712:0",1363834927873
error,log,,,"Zero or negative length StyleRange 745:0",1363834927876
error,log,,,"Zero or negative length StyleRange 754:0",1363834927878
error,log,,,"Zero or negative length StyleRange 1822:0",1363834927880
error,log,,,"Zero or negative length StyleRange 1833:0",1363834927883
error,log,,,"Zero or negative length StyleRange 1976:0",1363834927885
error,log,,,"Zero or negative length StyleRange 695:0",1363834930338
error,log,,,"Zero or negative length StyleRange 718:0",1363834930340
error,log,,,"Zero or negative length StyleRange 751:0",1363834930343
error,log,,,"Zero or negative length StyleRange 696:0",1363834930796
error,log,,,"Zero or negative length StyleRange 719:0",1363834930800
error,log,,,"Zero or negative length StyleRange 761:0",1363834930802
error,log,,,"Zero or negative length StyleRange 696:0",1363834930825
error,log,,,"Zero or negative length StyleRange 719:0",1363834930827
error,log,,,"Zero or negative length StyleRange 761:0",1363834930829
error,log,,,"Zero or negative length StyleRange 696:0",1363834930842
error,log,,,"Zero or negative length StyleRange 719:0",1363834930844
error,log,,,"Zero or negative length StyleRange 761:0",1363834930845
error,log,,,"Zero or negative length StyleRange 696:0",1363834930862
error,log,,,"Zero or negative length StyleRange 719:0",1363834930864
error,log,,,"Zero or negative length StyleRange 761:0",1363834930865
error,log,,,"Zero or negative length StyleRange 696:0",1363834930884
error,log,,,"Zero or negative length StyleRange 719:0",1363834930886
error,log,,,"Zero or negative length StyleRange 761:0",1363834930887
error,log,,,"Zero or negative length StyleRange 697:0",1363834930925
error,log,,,"Zero or negative length StyleRange 720:0",1363834930926
error,log,,,"Zero or negative length StyleRange 753:0",1363834930928
error,log,,,"Zero or negative length StyleRange 762:0",1363834930929
error,log,,,"Zero or negative length StyleRange 1830:0",1363834930931
error,log,,,"Zero or negative length StyleRange 1841:0",1363834930932
error,log,,,"Zero or negative length StyleRange 1984:0",1363834930934
error,log,,,"Zero or negative length StyleRange 697:0",1363834930944
error,log,,,"Zero or negative length StyleRange 720:0",1363834930946
error,log,,,"Zero or negative length StyleRange 753:0",1363834930947
error,log,,,"Zero or negative length StyleRange 762:0",1363834930949
error,log,,,"Zero or negative length StyleRange 1830:0",1363834930950
error,log,,,"Zero or negative length StyleRange 1841:0",1363834930952
error,log,,,"Zero or negative length StyleRange 1984:0",1363834930954
error,log,,,"Zero or negative length StyleRange 697:0",1363834930969
error,log,,,"Zero or negative length StyleRange 720:0",1363834930971
error,log,,,"Zero or negative length StyleRange 753:0",1363834930972
error,log,,,"Zero or negative length StyleRange 762:0",1363834930973
error,log,,,"Zero or negative length StyleRange 1830:0",1363834930975
error,log,,,"Zero or negative length StyleRange 1841:0",1363834930976
error,log,,,"Zero or negative length StyleRange 1984:0",1363834930978
error,log,,,"Zero or negative length StyleRange 697:0",1363834930990
error,log,,,"Zero or negative length StyleRange 720:0",1363834930991
error,log,,,"Zero or negative length StyleRange 753:0",1363834930993
error,log,,,"Zero or negative length StyleRange 762:0",1363834930994
error,log,,,"Zero or negative length StyleRange 1830:0",1363834930996
error,log,,,"Zero or negative length StyleRange 1841:0",1363834930997
error,log,,,"Zero or negative length StyleRange 1984:0",1363834930999
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1363834936638
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363834938532
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineUp",1363834939840
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363834941871
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363834948144
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1363834949003
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363834949728
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1363834949738
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363834950964
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1363834953186
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363834953987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363834955168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363834984743
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363834995261
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835029408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835033161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835305680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835307520
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835398742
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835399815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835400687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835403913
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835406288
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363835411918
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363835417732
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363835420402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835421529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835431102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835434233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835445522
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363835449320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835450664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835461416
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363835467045
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835468191
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835485980
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1363835491093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835492323
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835495401
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835495419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1363835563452
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363835563496
opened,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363835567516
activated,editor,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.editor",1363835567573
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1363835585791
